 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000           -3005           -5495           -2972           -3005;
     1    0.009           -3005           -5501           -2972           -3005;
     2    0.018           -3005           -5507           -2972           -3005;
     3    0.027           -3005           -5513           -2972           -3005;
     4    0.035           -3005           -5520           -2972           -3005;
     5    0.044           -3005           -5527           -2972           -3005;
     6    0.053           -3005           -5534           -2972           -3005;
     7    0.062           -3005           -5539           -2972           -3005;
     8    0.071           -3005           -5543           -2972           -3005;
     9    0.080           -3005           -5543           -2972           -3005;
    10    0.089           -3005           -5541           -2972           -3005;
    11    0.097           -3005           -5539           -2972           -3005;
    12    0.106           -3005           -5537           -2972           -3005;
    13    0.115           -3005           -5536           -2972           -3005;
    14    0.124           -3005           -5536           -2972           -3005;
    15    0.133           -3005           -5535           -2972           -3005;
    16    0.142           -3005           -5533           -2972           -3005;
    17    0.151           -3005           -5529           -2972           -3005;
    18    0.159           -3005           -5525           -2972           -3005;
    19    0.168           -3005           -5523           -2972           -3005;
    20    0.177           -3005           -5521           -2972           -3005;
    21    0.186           -3005           -5520           -2972           -3005;
    22    0.195           -3005           -5520           -2972           -3005;
    23    0.204           -3005           -5520           -2972           -3005;
    24    0.213           -3005           -5521           -2972           -3005;
    25    0.221           -3005           -5521           -2972           -3005;
    26    0.230           -3005           -5522           -2972           -3005;
    27    0.239           -3005           -5523           -2972           -3005;
    28    0.248           -3005           -5523           -2972           -3005;
    29    0.257           -3005           -5523           -2972           -3005;
    30    0.266           -3005           -5524           -2972           -3005;
    31    0.274           -3005           -5524           -2972           -3005;
    32    0.283           -3005           -5524           -2972           -3005;
    33    0.292           -3005           -5524           -2972           -3005;
    34    0.301           -3005           -5524           -2972           -3005;
    35    0.310           -3005           -5524           -2972           -3005;
    36    0.319           -3005           -5525           -2972           -3005;
    37    0.328           -3005           -5526           -2972           -3005;
    38    0.336           -3005           -5526           -2972           -3005;
    39    0.345           -3005           -5527           -2972           -3005;
    40    0.354           -3005           -5528           -2972           -3005;
    41    0.363           -3005           -5528           -2972           -3005;
    42    0.372           -3005           -5529           -2972           -3005;
    43    0.381           -3005           -5526           -2972           -3005;
    44    0.390           -3005           -5523           -2972           -3005;
    45    0.398           -3005           -5521           -2972           -3005;
    46    0.407           -3005           -5521           -2972           -3005;
    47    0.416           -3005           -5521           -2972           -3005;
    48    0.425           -3005           -5523           -2972           -3005;
    49    0.434           -3005           -5526           -2972           -3005;
    50    0.443           -3005           -5528           -2972           -3005;
    51    0.452           -3005           -5529           -2972           -3005;
    52    0.460           -3005           -5530           -2972           -3005;
    53    0.469           -3005           -5530           -2972           -3005;
    54    0.478           -3005           -5530           -2972           -3005;
    55    0.487           -3005           -5530           -2972           -3005;
    56    0.496           -3005           -5530           -2972           -3005;
    57    0.505           -3005           -5530           -2972           -3005;
    58    0.514           -3005           -5530           -2972           -3005;
    59    0.522           -3005           -5530           -2972           -3005;
    60    0.531           -3005           -5530           -2972           -3005;
    61    0.540           -3005           -5530           -2972           -3005;
    62    0.549           -3005           -5532           -2972           -3005;
    63    0.558           -3005           -5534           -2972           -3005;
    64    0.567           -3005           -5537           -2972           -3005;
    65    0.576           -3005           -5542           -2972           -3005;
    66    0.584           -3005           -5547           -2972           -3005;
    67    0.593           -3005           -5552           -2972           -3005;
    68    0.602           -3005           -5557           -2972           -3005;
    69    0.611           -3005           -5560           -2972           -3005;
    70    0.620           -3005           -5561           -2972           -3005;
    71    0.629           -3005           -5561           -2972           -3005;
    72    0.638           -3005           -5561           -2972           -3005;
    73    0.646           -3005           -5561           -2972           -3005;
    74    0.655           -3005           -5563           -2972           -3005;
    75    0.664           -3005           -5567           -2972           -3005;
    76    0.673           -3005           -5571           -2972           -3005;
    77    0.682           -3005           -5578           -2972           -3005;
    78    0.691           -3005           -5589           -2972           -3005;
    79    0.699           -3005           -5605           -2972           -3005;
    80    0.708           -3005           -5627           -2972           -3005;
    81    0.717           -3005           -5653           -2972           -3005;
    82    0.726           -3005           -5680           -2972           -3005;
    83    0.735           -3005           -5708           -2972           -3005;
    84    0.744           -3005           -5738           -2972           -3005;
    85    0.753           -3005           -5768           -2972           -3005;
    86    0.761           -3005           -5798           -2972           -3005;
    87    0.770           -3005           -5824           -2972           -3005;
    88    0.779           -3005           -5845           -2972           -3005;
    89    0.788           -3005           -5858           -2972           -3005;
    90    0.797           -3005           -5863           -2972           -3005;
    91    0.806           -3005           -5864           -2972           -3005;
    92    0.815           -3005           -5858           -2972           -3005;
    93    0.823           -3005           -5851           -2972           -3005;
    94    0.832           -3005           -5840           -2972           -3005;
    95    0.841           -3005           -5827           -2972           -3005;
    96    0.850           -3005           -5812           -2972           -3005;
    97    0.859           -3005           -5796           -2972           -3005;
    98    0.868           -3005           -5779           -2972           -3005;
    99    0.877           -3005           -5762           -2972           -3005;
   100    0.885           -3005           -5746           -2972           -3005;
   101    0.894           -3005           -5733           -2972           -3005;
   102    0.903           -3005           -5722           -2972           -3005;
   103    0.912           -3005           -5714           -2972           -3005;
   104    0.921           -3005           -5710           -2972           -3005;
   105    0.930           -3005           -5709           -2972           -3005;
   106    0.939           -3005           -5712           -2972           -3005;
   107    0.947           -3005           -5716           -2972           -3005;
   108    0.956           -3005           -5719           -2972           -3005;
   109    0.965           -3005           -5720           -2972           -3005;
   110    0.974           -3005           -5718           -2972           -3005;
   111    0.983           -3005           -5716           -2972           -3005;
   112    0.992           -3005           -5714           -2972           -3005;
   113    1.001           -3005           -5714           -2972           -3005;
   114    1.009           -3005           -5714           -2972           -3005;
   115    1.018           -3005           -5714           -2972           -3005;
   116    1.027           -3005           -5714           -2972           -3005;
   117    1.036           -3005           -5714           -2972           -3005;
   118    1.045           -3005           -5713           -2972           -3005;
   119    1.054           -3005           -5712           -2972           -3005;
   120    1.063           -3005           -5711           -2972           -3005;
   121    1.071           -3005           -5711           -2972           -3005;
   122    1.080           -3005           -5711           -2972           -3005;
   123    1.089           -3005           -5711           -2972           -3005;
   124    1.098           -3005           -5712           -2972           -3005;
   125    1.107           -3005           -5714           -2972           -3005;
   126    1.116           -3005           -5718           -2972           -3005;
   127    1.124           -3005           -5722           -2972           -3005;
   128    1.133           -3005           -5725           -2972           -3005;
   129    1.142           -3005           -5726           -2972           -3005;
   130    1.151           -3005           -5726           -2972           -3005;
   131    1.160           -3005           -5726           -2972           -3005;
   132    1.169           -3005           -5729           -2972           -3005;
   133    1.178           -3005           -5733           -2972           -3005;
   134    1.186           -3005           -5738           -2972           -3005;
   135    1.195           -3005           -5742           -2972           -3005;
   136    1.204           -3005           -5743           -2972           -3005;
   137    1.213           -3005           -5743           -2972           -3005;
   138    1.222           -3005           -5740           -2972           -3005;
   139    1.231           -3005           -5739           -2972           -3005;
   140    1.240           -3005           -5740           -2972           -3005;
   141    1.248           -3005           -5743           -2972           -3005;
   142    1.257           -3005           -5746           -2972           -3005;
   143    1.266           -3005           -5748           -2972           -3005;
   144    1.275           -3005           -5749           -2972           -3005;
   145    1.284           -3005           -5750           -2972           -3005;
   146    1.293           -3005           -5752           -2972           -3005;
   147    1.302           -3005           -5756           -2972           -3005;
   148    1.310           -3005           -5761           -2972           -3005;
   149    1.319           -3005           -5764           -2972           -3005;
   150    1.328           -3005           -5765           -2972           -3005;
   151    1.337           -3005           -5765           -2972           -3005;
   152    1.346           -3005           -5763           -2972           -3005;
   153    1.355           -3005           -5757           -2972           -3005;
   154    1.364           -3005           -5740           -2972           -3005;
   155    1.372           -3005           -5700           -2972           -3005;
   156    1.381           -3005           -5618           -2972           -3005;
   157    1.390           -3005           -5480           -2972           -3005;
   158    1.399           -3005           -5266           -2972           -3005;
   159    1.408           -3005           -4959           -2972           -3005;
   160    1.417           -3005           -4550           -2972           -3005;
   161    1.426           -3005           -4048           -2972           -3005;
   162    1.434           -3005           -3469           -2972           -3005;
   163    1.443           -3005           -2830           -2972           -3005;
   164    1.452           -3005           -2155           -2972           -3005;
