Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
0.003	2.000	2.100	1.966
0.054	2.000	2.100	1.967
0.104	2.000	2.100	1.969
0.153	2.000	2.100	1.968
0.204	2.000	2.100	1.968
0.254	2.000	2.100	1.970
0.303	2.000	2.100	1.969
0.354	2.000	2.100	1.969
0.404	2.000	2.100	1.969
0.453	2.000	2.100	1.968
0.503	2.000	2.100	1.969
0.553	2.000	2.100	1.967
0.602	2.000	2.100	1.969
0.652	2.000	2.100	1.968
0.701	2.000	2.100	1.968
0.751	2.000	2.100	1.965
0.800	2.000	2.100	1.968
0.850	2.000	2.100	1.968
0.901	2.000	2.100	1.969
0.951	2.000	2.100	1.968
1.001	2.000	2.100	1.966
1.051	2.000	2.100	1.969
1.101	2.000	2.100	1.967
1.151	2.000	2.100	1.968
1.201	2.000	2.100	1.969
1.251	2.000	2.100	1.970
1.300	2.000	2.100	1.967
1.351	2.000	2.126	1.949
1.402	2.000	2.127	1.968
1.452	2.000	2.127	1.969
1.502	2.000	2.128	1.966
1.552	2.000	2.129	1.968
1.601	2.000	2.130	1.967
1.651	2.000	2.131	1.968
1.701	2.000	2.131	1.969
1.750	2.000	2.132	1.968
1.800	2.000	2.133	1.969
1.850	2.000	2.134	1.969
1.900	2.000	2.134	1.967
1.950	2.000	2.135	1.959
2.000	2.000	2.136	1.969
2.049	2.000	2.137	1.969
2.100	2.000	2.137	1.967
2.150	2.000	2.138	1.970
2.199	2.000	2.139	1.969
2.250	2.000	2.139	1.970
2.299	2.000	2.140	1.970
2.349	2.000	2.140	1.968
2.400	2.000	2.141	1.967
2.450	2.000	2.142	1.970
2.499	2.000	2.142	1.969
2.550	2.000	2.143	1.969
2.600	2.000	2.143	1.969
2.649	2.000	2.144	1.970
2.699	2.000	2.144	1.967
2.749	2.000	2.145	1.968
2.798	2.000	2.145	1.966
2.848	2.000	2.145	1.963
2.897	2.000	2.146	1.967
2.948	2.000	2.146	1.964
2.997	2.000	2.147	1.961
3.047	2.000	2.147	1.964
3.097	2.000	2.147	1.963
3.147	2.000	2.148	1.958
3.197	2.000	2.148	1.965
3.248	2.000	2.148	1.967
3.298	2.000	2.148	1.962
3.347	2.000	2.149	1.965
3.398	2.000	2.149	1.965
3.447	2.000	2.149	1.970
3.496	2.000	2.149	1.968
3.546	2.000	2.149	1.969
3.595	2.000	2.150	1.966
3.646	2.000	2.150	1.969
3.696	2.000	2.150	1.969
3.745	2.000	2.150	1.967
3.795	2.000	2.150	1.967
3.845	2.000	2.150	1.969
3.894	2.000	2.150	1.970
3.945	2.000	2.150	1.970
3.994	2.000	2.150	1.969
4.044	2.000	2.150	1.969
4.094	2.000	2.150	1.968
4.144	2.000	2.150	1.970
4.194	2.000	2.150	1.969
4.244	2.000	2.150	1.968
4.294	2.000	2.149	1.969
4.344	2.000	2.149	1.968
4.394	2.000	2.149	1.968
4.444	2.000	2.149	1.969
4.494	2.000	2.149	1.968
4.544	2.100	2.148	1.968
4.595	2.100	2.148	1.964
4.644	2.100	2.148	1.967
4.694	2.100	2.148	1.968
4.745	2.100	2.147	1.968
4.794	2.100	2.147	1.969
4.844	2.100	2.147	1.968
4.894	2.100	2.146	1.969
4.944	2.200	2.146	1.967
4.994	2.200	2.146	1.965
5.044	2.200	2.145	1.969
5.094	2.200	2.145	1.967
5.144	2.200	2.144	1.968
5.194	2.200	2.144	1.969
5.244	2.200	2.143	1.967
5.293	2.300	2.143	1.967
5.343	2.300	2.142	1.968
5.393	2.300	2.142	1.967
5.443	2.300	2.141	1.968
5.494	2.300	2.140	1.969
5.543	2.300	2.140	1.968
5.593	2.300	2.139	1.968
5.643	2.300	2.139	1.968
5.692	2.300	2.138	1.968
5.743	2.300	2.137	1.969
5.793	2.300	2.137	1.969
5.842	2.300	2.136	1.968
5.893	2.300	2.135	1.967
5.943	2.400	2.135	1.968
5.993	2.400	2.134	1.967
6.043	2.400	2.133	1.968
6.093	2.400	2.132	1.968
6.143	2.400	2.132	1.966
6.192	2.400	2.131	1.969
6.242	2.400	2.130	1.968
6.291	2.400	2.129	1.969
6.342	2.400	2.128	1.969
6.392	2.500	2.128	1.968
6.442	2.500	2.127	1.955
6.492	2.500	2.126	1.969
6.543	2.500	2.125	1.969
6.592	2.500	2.124	1.968
6.642	2.500	2.123	1.967
6.693	2.600	2.122	1.968
6.742	2.600	2.122	1.968
6.792	2.600	2.121	1.967
6.843	2.600	2.120	1.968
6.892	2.600	2.119	1.970
6.942	2.700	2.118	1.969
6.992	2.700	2.117	1.969
7.042	2.700	2.116	1.970
7.092	2.700	2.115	1.960
7.142	2.800	2.114	1.961
7.192	2.800	2.113	1.969
7.242	2.800	2.112	1.968
7.292	2.800	2.111	1.967
7.341	2.900	2.110	1.969
7.391	2.900	2.109	1.964
7.440	2.900	2.108	1.968
7.490	2.900	2.107	1.970
7.541	2.900	2.106	1.969
7.591	2.900	2.105	1.965
7.640	2.900	2.104	1.968
7.691	2.900	2.103	1.970
7.740	2.900	2.102	1.970
7.790	2.900	2.101	1.968
7.841	2.900	2.100	1.969
7.891	2.900	2.099	1.970
7.941	2.900	2.100	1.967
7.991	2.900	2.100	1.970
8.041	2.900	2.100	1.970
8.090	2.900	2.100	1.971
8.140	2.900	2.100	1.971
8.190	2.900	2.100	1.964
8.240	2.900	2.100	1.969
8.290	2.900	2.100	1.970
8.340	2.900	2.100	1.969
