Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
0.003	10.000	2.020	1.971
0.054	0.000	2.020	1.965
0.103	8.589	2.020	1.968
0.154	7.912	2.020	1.968
0.203	7.979	2.020	1.966
0.253	8.374	2.020	1.964
0.303	8.666	2.020	1.968
0.352	7.898	2.020	1.965
0.403	8.433	2.020	1.967
0.453	8.047	2.020	1.962
0.503	8.930	2.020	1.967
0.553	8.104	2.020	1.966
0.603	8.247	2.020	1.969
0.653	7.849	2.020	1.968
0.703	8.008	2.020	1.968
0.753	7.997	2.020	1.968
0.803	7.999	2.020	1.967
0.853	8.224	2.020	1.966
0.903	8.368	2.020	1.971
0.953	7.509	2.020	1.971
1.003	7.608	2.020	1.971
1.053	7.554	2.020	1.966
1.103	8.459	2.020	1.969
1.153	7.795	2.020	1.970
1.204	7.694	2.020	1.969
1.254	7.883	2.020	1.971
1.303	7.584	2.020	1.969
1.354	7.843	2.020	1.969
1.404	7.875	2.020	1.971
1.454	7.589	2.020	1.969
1.504	7.904	2.020	1.970
1.555	7.761	2.020	1.970
1.605	7.775	2.020	1.956
1.655	10.000	2.020	1.968
1.706	7.784	2.020	1.966
1.756	8.365	2.020	1.968
1.806	7.991	2.020	1.970
1.856	7.751	2.020	1.968
1.907	8.009	2.020	1.969
1.957	7.816	2.020	1.957
2.007	10.000	2.020	1.955
2.057	10.000	2.020	1.964
2.108	8.393	2.020	1.965
2.157	8.474	2.020	1.968
2.207	7.984	2.020	1.968
2.258	8.101	2.020	1.964
2.308	8.713	2.020	1.969
2.357	7.745	2.020	1.968
2.408	8.075	2.020	1.968
2.458	8.107	2.020	1.971
2.507	7.540	2.020	1.970
2.557	7.720	2.020	1.967
2.607	8.269	2.020	1.973
2.657	7.084	2.020	1.971
2.708	7.663	2.020	1.973
2.758	7.333	2.020	1.973
2.807	7.311	2.020	1.973
2.857	7.319	2.020	1.973
2.907	7.264	2.020	1.973
2.957	7.272	2.020	1.971
3.008	7.722	2.020	1.971
3.058	7.560	2.020	1.973
3.108	7.350	2.020	1.972
3.158	7.489	2.020	1.970
3.209	7.758	2.020	1.966
3.259	8.513	2.020	1.971
3.308	7.469	2.020	1.972
3.359	7.526	2.020	1.971
3.409	7.702	2.020	1.972
3.458	7.515	2.020	1.973
3.509	7.369	2.020	1.973
3.559	7.333	2.020	1.969
3.609	7.958	2.020	1.964
3.659	8.729	2.020	1.972
3.709	7.399	2.020	1.972
3.759	7.544	2.020	1.970
3.809	7.826	2.020	1.965
3.860	8.578	2.020	1.973
3.909	7.197	2.020	1.967
3.959	8.417	2.020	1.973
4.009	7.117	2.020	1.971
4.058	7.649	2.020	1.971
4.108	7.604	2.020	1.971
4.158	7.605	2.020	1.972
4.207	7.494	2.020	1.971
4.258	7.621	2.020	1.973
4.307	7.329	2.020	1.973
4.357	7.419	2.020	1.970
4.408	7.918	2.020	1.972
