Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
0.004	2.000	2.100	1.968
0.055	2.000	2.100	1.968
0.106	2.000	2.100	1.967
0.156	2.000	2.100	1.964
0.207	2.000	2.100	1.966
0.257	2.000	2.100	1.969
0.307	2.000	2.100	1.971
0.358	2.000	2.100	1.961
0.408	2.000	2.100	1.971
0.458	2.000	2.100	1.969
0.509	2.000	2.100	1.971
0.559	2.000	2.100	1.972
0.609	2.000	2.100	1.971
0.659	2.000	2.100	1.969
0.710	2.000	2.100	1.970
0.760	2.000	2.100	1.970
0.810	2.000	2.100	1.967
0.860	2.000	2.100	1.969
0.911	2.000	2.100	1.970
0.961	2.000	2.100	1.969
1.011	2.000	2.100	1.969
1.061	2.000	2.100	1.969
1.111	2.000	2.100	1.970
1.161	2.000	2.100	1.967
1.211	2.000	2.100	1.968
1.261	2.000	2.100	1.969
1.311	2.000	2.100	1.967
1.361	2.000	2.100	1.969
1.412	2.000	2.100	1.969
1.461	2.000	2.100	1.967
1.512	2.000	2.100	1.969
1.562	2.000	2.100	1.969
1.612	2.000	2.100	1.967
1.662	2.000	2.100	1.965
1.713	2.000	2.100	1.970
1.763	2.000	2.100	1.969
1.813	2.000	2.100	1.968
1.863	2.000	2.100	1.969
1.914	2.000	2.100	1.969
1.963	2.000	2.100	1.970
2.013	2.000	2.100	1.967
2.064	2.000	2.100	1.969
2.114	2.000	2.100	1.971
2.164	2.000	2.100	1.966
2.214	2.000	2.100	1.965
2.264	2.000	2.100	1.970
2.313	2.000	2.100	1.968
2.364	2.000	2.100	1.968
2.414	2.000	2.100	1.967
2.463	2.000	2.100	1.967
2.514	2.000	2.100	1.968
2.564	2.000	2.100	1.968
2.614	2.000	2.100	1.969
2.664	2.000	2.100	1.968
2.714	2.000	2.100	1.969
2.764	2.000	2.100	1.969
2.814	2.000	2.100	1.967
2.864	2.000	2.100	1.968
2.913	2.000	2.100	1.967
2.963	2.000	2.100	1.970
3.013	2.000	2.100	1.970
3.063	2.000	2.100	1.968
3.113	2.000	2.100	1.967
3.164	2.000	2.100	1.969
3.214	2.000	2.100	1.968
3.263	2.000	2.100	1.968
3.314	2.000	2.100	1.971
3.363	2.000	2.100	1.968
3.413	2.000	2.100	1.966
3.464	2.000	2.100	1.969
3.514	2.000	2.100	1.969
3.564	2.000	2.100	1.969
3.614	2.000	2.100	1.970
3.664	2.000	2.100	1.970
3.713	2.000	2.100	1.966
3.764	2.000	2.100	1.968
3.814	2.000	2.100	1.970
3.863	2.000	2.100	1.968
3.914	2.000	2.100	1.969
3.964	2.000	2.100	1.971
4.013	2.000	2.100	1.968
4.064	2.000	2.100	1.966
4.114	2.000	2.100	1.970
4.164	2.000	2.100	1.967
4.214	2.000	2.100	1.969
4.264	2.000	2.100	1.969
4.313	2.000	2.100	1.969
4.364	2.000	2.100	1.969
4.414	2.000	2.100	1.969
4.464	2.000	2.100	1.970
4.514	2.000	2.100	1.969
4.564	2.000	2.100	1.969
4.614	2.000	2.100	1.971
4.664	2.000	2.100	1.969
4.715	2.000	2.100	1.970
4.764	2.000	2.100	1.969
4.814	2.000	2.100	1.971
4.865	2.000	2.100	1.969
4.914	2.000	2.100	1.968
4.963	2.000	2.100	1.969
5.014	2.000	2.100	1.970
5.064	2.000	2.100	1.969
5.114	2.000	2.100	1.971
5.164	2.000	2.100	1.970
5.214	2.000	2.100	1.971
5.264	2.000	2.100	1.970
5.315	2.000	2.100	1.972
5.365	2.000	2.100	1.971
5.415	2.000	2.100	1.969
5.465	2.000	2.100	1.970
5.516	2.000	2.100	1.971
5.565	2.000	2.100	1.969
5.615	2.000	2.100	1.965
5.666	2.000	2.100	1.970
5.716	2.000	2.100	1.970
5.765	2.000	2.100	1.970
5.816	2.000	2.100	1.970
5.866	2.000	2.100	1.970
5.915	2.000	2.100	1.970
5.965	2.000	2.100	1.971
6.015	2.000	2.100	1.970
6.065	2.000	2.100	1.970
6.116	2.000	2.100	1.970
6.167	2.000	2.100	1.971
6.216	2.000	2.100	1.969
6.266	2.000	2.100	1.970
6.317	2.000	2.100	1.971
6.366	2.000	2.100	1.970
6.416	2.000	2.100	1.970
6.467	2.000	2.100	1.970
6.517	2.000	2.100	1.971
6.566	2.000	2.100	1.970
6.617	2.000	2.100	1.969
6.667	2.000	2.100	1.971
6.717	2.000	2.100	1.972
6.767	2.000	2.100	1.970
6.817	2.000	2.100	1.971
6.867	2.000	2.100	1.969
6.917	2.000	2.100	1.970
6.968	2.000	2.100	1.970
7.018	2.000	2.100	1.956
7.068	2.000	2.100	1.970
7.119	2.000	2.100	1.970
7.169	2.000	2.100	1.970
7.219	2.000	2.100	1.970
7.268	2.000	2.100	1.970
7.319	2.000	2.100	1.967
7.369	2.000	2.100	1.971
7.418	2.000	2.100	1.970
7.469	2.000	2.100	1.969
7.519	2.000	2.100	1.970
7.569	2.000	2.100	1.967
7.619	2.000	2.100	1.972
7.669	2.000	2.100	1.969
7.719	2.000	2.100	1.969
7.769	2.000	2.100	1.970
7.819	2.000	2.100	1.970
7.869	2.000	2.100	1.970
7.920	2.000	2.100	1.970
7.970	2.000	2.100	1.969
8.020	2.000	2.100	1.970
8.070	2.000	2.100	1.970
8.121	2.000	2.100	1.966
8.171	2.000	2.100	1.969
8.221	2.000	2.100	1.969
8.271	2.000	2.100	1.965
8.322	2.000	2.100	1.971
8.372	2.000	2.100	1.970
8.422	2.000	2.100	1.969
8.472	2.000	2.100	1.970
8.523	2.000	2.100	1.969
8.572	2.000	2.100	1.969
8.622	2.000	2.100	1.969
8.671	2.000	2.100	1.971
8.721	2.000	2.100	1.969
8.772	2.000	2.100	1.969
8.822	2.000	2.100	1.968
8.872	2.000	2.100	1.969
8.922	2.000	2.100	1.968
8.972	2.000	2.100	1.968
9.022	2.000	2.100	1.966
9.072	2.000	2.100	1.969
9.122	2.000	2.100	1.970
9.172	2.000	2.100	1.969
