Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
0.003	2.000	2.100	1.972
0.055	2.000	2.101	1.966
0.104	2.000	2.102	1.969
0.155	2.000	2.103	1.971
0.205	2.000	2.104	1.971
0.255	2.000	2.105	1.971
0.305	2.000	2.106	1.971
0.355	2.000	2.107	1.971
0.405	2.000	2.108	1.969
0.455	2.000	2.109	1.971
0.506	2.000	2.110	1.971
0.556	2.000	2.111	1.970
0.605	2.000	2.112	1.967
0.656	2.000	2.113	1.972
0.706	2.000	2.114	1.971
0.756	2.000	2.115	1.971
0.807	2.000	2.116	1.971
0.857	2.000	2.117	1.972
0.907	2.000	2.118	1.970
0.957	2.000	2.119	1.969
1.008	2.000	2.120	1.972
1.057	2.000	2.121	1.970
1.107	2.000	2.121	1.969
1.158	2.000	2.122	1.962
1.208	2.000	2.123	1.970
1.257	2.000	2.124	1.969
1.308	2.000	2.125	1.970
1.358	2.000	2.126	1.967
1.408	2.000	2.127	1.952
1.458	2.000	2.128	1.962
1.509	2.000	2.128	1.956
1.559	2.000	2.129	1.969
1.608	2.000	2.130	1.967
1.659	2.000	2.131	1.963
1.709	2.000	2.132	1.958
1.759	2.000	2.132	1.960
1.809	2.000	2.133	1.968
1.859	2.000	2.134	1.960
1.909	2.000	2.135	1.957
1.959	2.000	2.135	1.959
2.010	2.000	2.136	1.963
2.059	2.000	2.137	1.959
2.109	2.000	2.137	1.958
2.160	2.000	2.138	1.970
2.209	2.000	2.139	1.961
2.259	2.000	2.139	1.958
2.310	2.000	2.140	1.958
2.360	2.000	2.140	1.963
2.410	2.000	2.141	1.964
2.460	2.000	2.142	1.955
2.510	2.000	2.142	1.959
2.560	2.000	2.143	1.965
2.610	2.000	2.143	1.961
2.660	2.000	2.144	1.958
2.710	2.000	2.144	1.963
2.760	2.000	2.145	1.962
2.811	2.000	2.145	1.955
2.860	2.000	2.146	1.958
2.910	2.000	2.146	1.969
2.960	2.000	2.146	1.969
3.009	2.000	2.147	1.969
3.060	2.000	2.147	1.970
3.110	2.000	2.147	1.971
3.159	2.000	2.148	1.970
3.210	2.000	2.148	1.970
3.259	2.000	2.148	1.973
3.308	2.000	2.148	1.971
3.359	2.000	2.149	1.970
3.409	2.000	2.149	1.970
3.458	2.000	2.149	1.969
3.509	2.000	2.149	1.968
3.559	2.000	2.149	1.970
3.609	2.000	2.150	1.967
3.659	2.000	2.150	1.965
3.709	2.000	2.150	1.971
3.759	2.000	2.150	1.971
3.809	2.000	2.150	1.971
3.859	2.000	2.150	1.971
3.909	2.000	2.150	1.970
3.959	2.000	2.150	1.969
4.009	2.000	2.150	1.972
4.058	2.000	2.150	1.971
4.109	2.000	2.150	1.971
4.159	2.000	2.150	1.972
4.209	2.000	2.150	1.969
4.258	2.000	2.150	1.971
4.309	2.000	2.149	1.971
4.358	2.000	2.149	1.970
4.408	2.000	2.149	1.970
4.458	2.000	2.149	1.971
4.508	2.000	2.149	1.971
4.558	2.000	2.148	1.971
4.609	2.000	2.148	1.971
4.659	2.000	2.148	1.971
4.709	2.000	2.148	1.969
4.760	2.000	2.147	1.970
4.810	2.000	2.147	1.972
4.859	2.000	2.147	1.970
4.910	2.000	2.146	1.969
4.960	2.000	2.146	1.971
5.009	2.000	2.145	1.971
5.059	2.000	2.145	1.972
5.110	2.000	2.145	1.973
5.159	2.000	2.144	1.970
5.209	2.000	2.144	1.971
5.259	2.000	2.143	1.971
5.309	2.000	2.143	1.971
5.359	2.000	2.142	1.968
5.409	2.000	2.141	1.948
5.459	2.000	2.141	1.970
5.509	2.000	2.140	1.973
5.559	2.000	2.140	1.971
5.609	2.000	2.139	1.970
5.659	2.000	2.138	1.970
5.710	2.000	2.138	1.971
5.760	2.000	2.137	1.970
5.810	2.000	2.136	1.969
5.861	2.000	2.136	1.970
5.911	2.000	2.135	1.967
5.961	2.000	2.084	1.971
6.011	2.000	2.084	1.969
6.062	2.000	2.083	1.970
6.112	2.000	2.082	1.973
6.162	2.000	2.081	1.969
6.212	2.000	2.081	1.972
6.261	2.000	2.080	1.970
6.311	2.000	2.079	1.969
6.362	2.000	2.078	1.971
6.412	2.000	2.077	1.970
6.461	2.000	2.076	1.970
6.512	2.000	2.076	1.956
6.561	2.000	2.075	1.970
6.610	2.000	2.074	1.970
6.661	2.000	2.073	1.971
6.711	2.000	2.072	1.968
6.760	2.000	2.071	1.969
6.811	2.000	2.070	1.971
6.860	2.000	2.069	1.970
6.910	2.000	2.068	1.970
6.961	2.000	2.067	1.971
7.011	2.000	2.067	1.970
7.061	2.000	2.066	1.970
7.111	2.000	2.065	1.972
7.162	2.000	2.064	1.970
7.212	2.000	2.063	1.970
7.261	2.000	2.062	1.968
7.312	2.000	2.061	1.973
7.361	2.000	2.060	1.970
7.411	2.000	2.059	1.969
7.462	2.000	2.058	1.967
7.512	2.000	2.057	1.971
7.561	2.000	2.056	1.971
7.612	2.000	2.055	1.971
7.661	2.000	2.054	1.971
7.711	2.000	2.053	1.968
7.762	2.000	2.052	1.969
7.812	2.000	2.051	1.970
7.862	2.000	2.050	1.969
7.912	2.000	2.049	1.970
7.962	2.000	2.048	1.971
8.012	2.000	2.047	1.968
8.061	2.000	2.046	1.971
8.112	2.000	2.045	1.972
8.162	2.000	2.044	1.969
8.212	2.000	2.043	1.971
8.263	2.000	2.042	1.972
8.312	2.000	2.041	1.972
8.362	2.000	2.040	1.971
8.413	2.000	2.039	1.971
8.463	2.000	2.038	1.971
8.512	2.000	2.037	1.970
8.563	2.000	2.036	1.972
8.613	2.000	2.035	1.971
8.663	2.000	2.034	1.970
8.713	2.000	2.033	1.971
8.764	2.000	2.032	1.971
8.814	2.000	2.031	1.971
8.864	2.000	2.030	1.970
8.915	2.000	2.029	1.971
8.965	2.000	2.029	1.971
9.014	2.000	2.028	1.971
9.065	2.000	2.027	1.973
9.115	2.000	2.026	1.971
9.165	2.000	2.025	1.969
9.215	2.000	2.024	1.970
9.265	2.000	2.023	1.970
9.315	2.000	2.022	1.969
9.365	2.000	2.022	1.971
9.415	2.000	2.021	1.972
9.465	2.000	2.020	1.973
9.515	2.000	2.019	1.970
9.566	2.000	2.018	1.971
9.615	2.000	2.018	1.971
9.665	2.000	2.017	1.971
9.716	2.000	2.016	1.971
9.765	2.000	2.015	1.970
9.815	2.000	2.015	1.968
9.866	2.000	2.014	1.970
9.916	2.000	2.013	1.971
9.965	2.000	2.013	1.969
10.016	2.000	2.012	1.971
10.066	2.000	2.011	1.971
10.116	2.000	2.011	1.969
10.165	2.000	2.010	1.966
10.216	2.000	2.009	1.971
10.266	2.000	2.009	1.970
10.316	2.000	2.008	1.970
10.367	2.000	2.008	1.966
10.417	2.000	2.007	1.971
10.467	2.000	2.007	1.969
10.517	2.000	2.006	1.968
10.568	2.000	2.006	1.971
10.617	2.000	2.005	1.970
10.667	2.000	2.005	1.969
10.718	2.000	2.004	1.966
10.768	2.000	2.004	1.960
10.818	2.000	2.004	1.957
10.868	2.000	2.003	1.958
10.919	2.000	2.003	1.968
10.969	2.000	2.003	1.969
11.019	2.000	2.002	1.970
11.070	2.000	2.002	1.967
11.120	2.000	2.002	1.974
11.170	2.000	2.001	1.972
11.220	2.000	2.001	1.972
11.270	2.000	2.001	1.960
11.319	2.000	2.001	1.968
11.369	2.000	2.001	1.960
11.419	2.000	2.001	1.959
11.469	2.000	2.000	1.962
11.520	2.000	2.000	1.965
11.570	2.000	2.000	1.970
11.620	2.000	2.000	1.973
11.670	2.000	2.000	1.972
11.721	2.000	2.000	1.973
11.771	2.000	2.000	1.974
11.821	0.517	2.000	1.973
11.871	0.680	2.000	1.971
11.922	0.851	2.000	1.973
11.972	0.959	2.000	1.972
12.022	1.111	2.000	1.971
12.072	1.286	2.000	1.973
12.122	1.384	2.000	1.962
12.171	1.742	2.001	1.973
12.222	1.730	2.001	1.969
12.272	1.949	2.001	1.971
12.322	2.067	2.001	1.971
12.372	2.221	2.001	1.971
12.422	2.377	2.002	1.968
12.472	2.594	2.002	1.971
12.522	2.714	2.002	1.971
12.573	2.884	2.002	1.972
12.623	3.030	2.003	1.971
12.673	3.213	2.003	1.969
12.724	3.423	2.004	1.971
12.774	3.559	2.004	1.967
12.824	3.818	2.004	1.970
12.874	3.954	2.005	1.969
12.925	4.152	2.005	1.970
12.975	4.323	2.006	1.969
13.025	4.524	2.006	1.969
13.075	4.724	2.007	1.970
13.126	4.909	2.007	1.971
13.176	5.088	2.008	1.970
13.226	5.297	2.008	1.969
13.277	5.519	2.009	1.970
13.327	5.716	2.009	1.969
13.377	5.939	2.010	1.969
13.427	6.149	2.010	1.968
13.478	6.401	2.011	1.970
13.528	6.591	2.012	1.970
13.577	6.808	2.012	1.967
13.628	7.087	2.013	1.968
13.678	7.309	2.014	1.971
13.728	7.498	2.014	1.969
13.778	7.763	2.015	1.967
13.829	8.046	2.016	1.969
13.879	8.277	2.017	1.972
13.929	8.473	2.017	1.972
13.980	8.699	2.018	1.975
14.030	8.661	2.019	1.977
14.080	8.639	2.020	1.977
14.130	8.647	2.020	1.981
14.181	8.600	2.021	1.987
14.231	8.523	2.022	1.994
14.281	8.433	2.023	2.002
14.331	8.333	2.024	2.013
14.381	8.169	2.025	2.028
14.431	7.950	2.026	2.045
14.481	7.609	2.026	2.064
14.531	7.161	2.027	2.094
14.581	6.381	2.028	2.123
14.631	5.494	2.029	2.154
14.682	4.416	2.030	2.188
14.731	3.146	2.031	2.204
14.781	2.065	2.032	2.208
14.832	1.149	2.033	2.192
14.882	0.618	2.034	2.159
14.931	0.496	2.035	2.118
14.982	0.715	2.036	2.077
15.032	1.150	2.037	2.043
15.081	1.645	2.038	2.016
15.132	2.178	2.039	1.998
15.182	2.674	2.040	1.986
15.231	3.143	2.041	1.976
15.282	3.620	2.042	1.971
15.332	4.082	2.043	1.971
15.382	4.447	2.043	1.970
15.432	4.855	2.044	1.971
15.483	5.228	2.046	1.971
15.532	5.615	2.046	1.968
15.582	6.070	2.047	1.969
15.633	6.473	2.049	1.969
15.683	6.885	2.050	1.969
15.732	7.312	2.050	1.969
15.783	7.747	2.052	1.968
15.833	8.201	2.052	1.970
15.882	8.592	2.053	1.967
15.933	9.095	2.054	1.968
15.983	9.313	2.055	1.968
16.033	9.323	2.056	1.969
16.083	9.333	2.057	1.972
16.133	9.304	2.058	1.974
16.183	9.284	2.059	1.975
16.233	9.280	2.060	1.981
16.284	9.206	2.061	1.988
16.333	9.122	2.062	1.996
16.383	9.014	2.063	2.010
16.434	8.812	2.064	2.029
16.484	8.547	2.065	2.057
16.534	8.138	2.066	2.096
16.584	7.420	2.067	2.144
16.635	6.329	2.068	2.230
16.685	4.246	2.069	2.336
16.735	1.337	2.070	2.459
16.786	0.000	2.071	2.434
16.836	0.000	2.072	2.367
16.886	0.000	2.073	2.290
16.936	0.000	2.074	2.208
16.987	0.000	2.074	2.138
17.037	0.000	2.075	2.083
17.087	0.000	2.076	2.041
17.138	0.000	2.077	2.012
17.188	0.000	2.078	1.995
17.238	0.208	2.079	1.984
17.288	0.869	2.080	1.974
17.338	1.565	2.080	1.971
17.388	2.170	2.081	1.972
17.438	2.723	2.082	1.972
17.489	3.291	2.083	1.973
17.539	3.829	2.083	1.971
17.589	4.448	2.084	1.971
17.639	5.030	2.085	1.971
17.690	5.616	2.086	1.970
17.739	6.211	2.086	1.970
17.789	6.812	2.087	1.968
17.840	7.450	2.088	1.969
17.889	8.035	2.088	1.967
17.939	8.683	2.089	1.968
17.989	9.290	2.090	1.969
18.039	9.818	2.090	1.966
18.088	9.877	2.091	1.968
18.139	9.850	2.091	1.969
18.189	9.849	2.092	1.970
18.239	9.832	2.092	1.969
18.289	9.860	2.093	1.974
18.339	9.783	2.093	1.965
18.389	9.941	2.094	1.985
18.440	9.639	2.094	1.993
18.491	9.526	2.095	2.006
18.541	9.335	2.095	2.023
18.591	9.082	2.096	2.048
18.642	8.709	2.096	2.086
18.692	8.150	2.096	2.148
18.742	6.972	2.097	2.224
18.792	5.203	2.097	2.337
18.843	2.294	2.098	2.471
18.893	0.000	2.098	2.416
18.943	0.000	2.098	2.340
18.993	0.000	2.098	2.286
19.043	0.000	2.099	2.207
19.093	0.000	2.099	2.133
19.143	0.000	2.099	2.075
19.194	0.096	2.099	2.046
19.243	0.794	2.099	2.014
19.293	1.702	2.100	1.989
19.344	2.639	2.100	1.972
19.394	3.526	2.100	1.967
19.444	4.261	2.100	1.967
19.495	4.937	2.100	1.972
19.545	5.506	2.100	1.973
