Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
0.003	2.000	2.100	1.969
0.055	2.000	2.100	1.969
0.104	2.000	2.100	1.969
0.155	2.000	2.100	1.969
0.204	2.000	2.100	1.967
0.254	2.000	2.100	1.971
0.303	2.000	2.100	1.969
0.352	2.000	2.100	1.969
0.403	2.000	2.100	1.971
0.453	2.000	2.100	1.969
0.503	2.000	2.100	1.971
0.553	2.000	2.100	1.969
0.603	2.000	2.100	1.971
0.653	2.000	2.100	1.967
0.703	2.000	2.100	1.969
0.753	2.000	2.100	1.970
0.803	2.000	2.100	1.968
0.853	2.000	2.100	1.972
0.903	2.000	2.100	1.970
0.953	2.000	2.100	1.967
1.003	2.000	2.100	1.969
1.053	2.000	2.100	1.964
1.102	2.000	2.100	1.965
1.153	2.000	2.100	1.969
1.203	2.000	2.100	1.962
1.252	2.000	2.100	1.964
1.303	2.000	2.100	1.967
1.353	2.000	2.100	1.962
1.402	2.000	2.100	1.970
1.452	2.000	2.100	1.967
1.502	2.000	2.100	1.965
1.552	2.000	2.100	1.970
1.602	2.000	2.100	1.963
1.652	2.000	2.100	1.967
1.702	2.000	2.100	1.968
1.752	2.000	2.100	1.969
1.802	2.000	2.100	1.969
1.852	2.000	2.100	1.968
1.901	2.000	2.100	1.969
1.951	2.000	2.100	1.968
2.001	2.000	2.100	1.969
2.051	2.000	2.100	1.969
2.100	2.100	2.100	1.967
2.150	2.100	2.100	1.968
2.201	2.100	2.100	1.968
2.251	2.100	2.100	1.968
2.300	2.100	2.100	1.967
2.351	2.100	2.100	1.969
2.400	2.100	2.100	1.967
2.450	2.100	2.100	1.968
2.501	2.100	2.100	1.969
2.551	2.100	2.100	1.965
2.601	2.300	2.100	1.961
2.651	2.400	2.100	1.967
2.701	2.600	2.100	1.967
2.750	2.700	2.100	1.968
2.801	2.900	2.100	1.968
2.850	3.000	2.100	1.967
2.899	3.200	2.100	1.968
2.949	3.300	2.100	1.970
2.999	3.500	2.100	1.972
3.049	3.600	2.100	1.967
3.098	3.800	2.100	1.967
3.147	3.900	2.100	1.968
3.197	4.100	2.100	1.968
3.246	4.200	2.100	1.968
3.296	4.400	2.100	1.969
3.346	4.500	2.100	1.968
3.396	4.700	2.100	1.968
3.447	4.800	2.100	1.969
3.496	5.000	2.100	1.970
3.546	5.100	2.100	1.968
3.597	5.300	2.100	1.972
3.647	5.500	2.100	1.959
3.696	5.600	2.100	1.968
3.747	5.700	2.100	1.969
3.796	5.900	2.100	1.967
3.845	6.000	2.100	1.968
3.896	6.200	2.100	1.968
3.946	6.400	2.100	1.967
3.995	6.500	2.100	1.969
4.046	6.500	2.100	1.968
4.096	6.500	2.100	1.968
4.145	6.500	2.100	1.968
4.195	6.500	2.100	1.968
4.244	6.500	2.100	1.967
4.294	6.500	2.100	1.968
4.344	6.500	2.100	1.966
4.394	6.500	2.100	1.966
4.444	6.500	2.100	1.966
4.494	6.500	2.100	1.968
4.544	6.500	2.100	1.967
4.594	6.500	2.100	1.961
4.644	6.500	2.100	1.967
4.694	6.600	2.100	1.967
4.744	6.600	2.100	1.966
4.795	6.600	2.100	1.966
4.844	6.600	2.100	1.965
4.894	6.600	2.100	1.969
4.943	6.600	2.100	1.967
4.992	6.600	2.100	1.966
5.043	6.600	2.100	1.968
5.093	6.600	2.100	1.964
5.142	6.600	2.100	1.963
5.193	6.800	2.100	1.968
5.243	6.900	2.100	1.966
5.292	7.000	2.100	1.968
5.342	7.200	2.100	1.967
5.392	7.400	2.100	1.966
5.441	7.500	2.100	1.967
5.491	7.700	2.100	1.969
5.541	7.800	2.100	1.967
5.591	8.000	2.100	1.952
5.641	8.100	2.100	1.968
5.691	8.200	2.100	1.967
5.741	8.400	2.100	1.964
5.792	8.600	2.100	1.963
5.841	8.700	2.100	1.963
5.891	8.900	2.100	1.967
5.942	9.000	2.100	1.968
5.992	9.200	2.100	1.963
6.041	9.200	2.100	1.967
6.092	9.200	2.100	1.967
6.141	9.200	2.100	1.968
6.191	9.200	2.100	1.971
6.242	9.200	2.100	1.973
6.292	9.200	2.100	1.973
6.341	9.200	2.100	1.970
6.391	9.200	2.100	1.978
6.440	9.200	2.100	1.981
6.490	9.200	2.100	1.976
6.541	9.100	2.100	1.988
6.590	9.100	2.100	1.992
6.640	9.100	2.100	1.997
6.690	9.100	2.100	2.001
6.740	9.100	2.100	2.005
6.790	9.100	2.100	2.011
6.840	9.100	2.100	2.010
6.889	9.100	2.100	2.012
6.940	9.100	2.100	2.013
6.990	9.100	2.100	2.016
7.039	9.100	2.100	2.014
7.090	9.100	2.100	2.014
7.140	9.100	2.100	2.015
7.189	9.100	2.100	2.015
7.240	9.100	2.100	2.014
7.290	9.100	2.100	2.015
7.339	9.100	2.100	2.014
7.390	9.100	2.100	2.014
7.440	9.100	2.100	2.015
7.489	9.100	2.100	2.015
7.539	9.100	2.100	2.014
7.589	9.100	2.100	2.014
7.639	9.100	2.100	2.016
7.689	9.100	2.100	2.015
7.739	9.100	2.100	2.012
7.788	9.100	2.100	2.014
7.839	9.100	2.100	2.015
7.888	9.100	2.100	2.016
7.938	9.100	2.100	2.014
7.989	9.100	2.100	2.016
8.039	9.100	2.100	2.016
8.088	9.100	2.100	2.015
8.139	9.100	2.100	2.016
8.189	9.100	2.100	2.015
8.238	9.100	2.100	2.014
8.289	9.100	2.100	2.016
8.339	9.100	2.100	2.016
8.389	9.100	2.100	2.014
8.439	9.100	2.100	2.016
8.489	9.100	2.100	2.017
8.539	9.100	2.100	2.016
8.589	9.100	2.100	2.014
8.640	9.100	2.100	2.017
8.689	9.100	2.100	2.017
8.739	9.100	2.100	2.015
8.790	9.100	2.100	2.018
8.839	9.100	2.100	2.016
8.889	9.100	2.100	2.016
8.940	9.100	2.100	2.018
8.989	9.100	2.100	2.017
9.038	9.100	2.100	2.016
9.088	9.100	2.100	2.019
9.137	9.100	2.100	2.017
9.188	9.100	2.100	2.018
9.237	9.100	2.100	2.016
9.286	9.100	2.100	2.018
9.337	9.100	2.100	2.018
9.386	9.100	2.100	2.018
9.436	9.100	2.100	2.018
9.486	9.100	2.100	2.019
9.535	9.100	2.100	2.017
9.585	9.100	2.100	2.018
9.634	9.100	2.100	2.016
9.684	9.100	2.100	2.016
9.734	9.100	2.100	2.019
9.783	9.100	2.100	2.017
9.834	9.100	2.100	2.017
9.884	9.100	2.100	2.018
9.934	9.100	2.100	2.017
9.983	9.100	2.100	2.021
10.034	9.100	2.100	2.018
10.084	9.100	2.100	2.020
10.134	9.100	2.100	2.018
10.184	9.100	2.100	2.020
10.233	9.100	2.100	2.020
10.283	9.100	2.100	2.020
10.333	9.100	2.100	2.024
10.382	9.100	2.100	2.021
10.432	9.100	2.100	2.024
10.481	9.100	2.100	2.023
10.531	9.100	2.100	2.026
10.580	9.100	2.100	2.025
10.630	9.100	2.100	2.025
10.680	9.100	2.100	2.022
10.729	9.100	2.100	2.024
10.779	9.100	2.100	2.018
10.829	9.100	2.100	2.020
10.878	9.100	2.100	2.024
10.928	9.100	2.100	2.024
10.977	9.100	2.100	2.023
11.027	9.100	2.100	2.024
11.077	9.100	2.100	2.023
11.126	9.100	2.100	2.023
11.177	9.100	2.100	2.024
11.226	9.100	2.100	2.023
11.275	9.100	2.100	2.020
11.326	9.100	2.100	2.025
11.376	9.100	2.100	2.023
11.425	9.100	2.100	2.024
11.476	9.100	2.100	2.024
11.526	9.100	2.100	2.024
11.575	9.100	2.100	2.024
11.626	9.100	2.100	2.023
11.676	9.100	2.100	2.026
11.726	9.100	2.100	2.022
11.776	9.100	2.100	2.024
11.826	9.100	2.100	2.027
11.876	9.100	2.100	2.025
11.926	9.100	2.100	2.026
11.976	9.100	2.100	2.026
12.026	9.100	2.100	2.026
12.076	9.100	2.100	2.027
12.127	9.100	2.100	2.028
12.176	9.100	2.100	2.027
12.226	9.100	2.100	2.027
12.277	9.100	2.100	2.027
12.326	9.100	2.100	2.026
12.375	9.100	2.100	2.027
12.425	9.100	2.100	2.027
12.475	9.100	2.100	2.027
12.525	9.100	2.100	2.027
12.575	9.100	2.100	2.028
12.625	9.100	2.100	2.026
12.675	9.100	2.100	2.025
12.726	9.100	2.100	2.028
12.775	9.100	2.100	2.028
12.825	9.100	2.100	2.024
12.876	9.100	2.100	2.029
12.925	9.100	2.100	2.027
12.975	9.100	2.100	2.028
13.026	9.100	2.100	2.030
13.075	9.100	2.100	2.033
13.124	9.100	2.100	2.029
13.174	9.100	2.100	2.030
13.224	9.100	2.100	2.028
13.275	9.100	2.100	2.028
13.325	9.100	2.100	2.030
13.374	9.100	2.100	2.027
13.424	9.100	2.100	2.030
13.473	9.100	2.100	2.031
13.523	9.100	2.100	2.031
13.573	9.100	2.100	2.031
13.622	9.100	2.100	2.030
13.672	9.100	2.100	2.032
13.722	9.100	2.100	2.032
13.771	9.100	2.100	2.028
13.822	9.100	2.100	2.030
13.872	9.100	2.100	2.031
