 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000               0               0               0               0;
     1    0.009               0               0               0               0;
     2    0.018               0               0               0               0;
     3    0.027               0               0               0               0;
     4    0.035               0               0               0               0;
     5    0.044               0               0               0               0;
     6    0.053               0               0               0               0;
     7    0.062               0               0               0               0;
     8    0.071               0               0               0               0;
     9    0.080               1               0               0               0;
    10    0.089               1               0               0               0;
    11    0.097               1               0               0               0;
    12    0.106               1               0               0               0;
    13    0.115               2               0               0               0;
    14    0.124               2               0               0               0;
    15    0.133               3               0               0               0;
    16    0.142               3               0               0               0;
    17    0.151               4               0               0               0;
    18    0.159               4               0               0               0;
    19    0.168               5               2               0               0;
    20    0.177               6               4               0               0;
    21    0.186               7               8               0               0;
    22    0.195               8              12               0               0;
    23    0.204               9              17               0               0;
    24    0.213              10              25               0               0;
    25    0.221              12              33               0               0;
    26    0.230              13              45               0               0;
    27    0.239              15              59               0               0;
    28    0.248              16              76               0               0;
    29    0.257              18              97               0               0;
    30    0.266              20             123               0               0;
    31    0.274              22             153               0               0;
    32    0.283              24             187               0               0;
    33    0.292              26             227               0               0;
    34    0.301              28             271               0               0;
    35    0.310              31             319               0               0;
    36    0.319              33             371               0               0;
    37    0.328              35             426               0               0;
    38    0.336              37             484               0               0;
    39    0.345              39             544               0               0;
    40    0.354              41             605               0               0;
    41    0.363              43             665               0               0;
    42    0.372              44             724               0               0;
    43    0.381              46             781               0               0;
    44    0.390              47             834               0               0;
    45    0.398              49             882               0               0;
    46    0.407              50             925               0               0;
    47    0.416              50             962               0               0;
    48    0.425              51             992               0               0;
    49    0.434              51            1016               0               0;
    50    0.443              51            1031               0               0;
    51    0.452              51            1038               0               0;
    52    0.460              50            1039               0               0;
    53    0.469              49            1031               0               0;
    54    0.478              48            1016               0               0;
    55    0.487              46             998               0               0;
    56    0.496              44             976               0               0;
    57    0.505              42             949               0               0;
    58    0.514              39             918               0               0;
    59    0.522              36             882               0               0;
    60    0.531              32             840               0               0;
    61    0.540              28             792               0               0;
    62    0.549              24             737               0               0;
    63    0.558              20             675               0               0;
    64    0.567              15             606               0               0;
    65    0.576              11             529               0               0;
    66    0.584               6             445               0               0;
    67    0.593               1             353               0               0;
    68    0.602              -4             255               0               0;
    69    0.611              -8             152               0               0;
    70    0.620             -13              45               0               0;
    71    0.629             -18             -65               0               0;
    72    0.638             -22            -177               0               0;
    73    0.646             -26            -290               0               0;
    74    0.655             -31            -403               0               0;
    75    0.664             -34            -514               0               0;
    76    0.673             -38            -622               0               0;
    77    0.682             -41            -726               0               0;
    78    0.691             -44            -823               0               0;
    79    0.699             -46            -913               0               0;
    80    0.708             -48            -994               0               0;
    81    0.717             -50           -1065               0               0;
    82    0.726             -51           -1123               0               0;
    83    0.735             -51           -1168               0               0;
    84    0.744             -51           -1197               0               0;
    85    0.753             -50           -1212               0               0;
    86    0.761             -49           -1212               0               0;
    87    0.770             -47           -1195               0               0;
    88    0.779             -44           -1165               0               0;
    89    0.788             -41           -1122               0               0;
    90    0.797             -38           -1066               0               0;
    91    0.806             -34            -998               0               0;
    92    0.815             -29            -919               0               0;
    93    0.823             -25            -829               0               0;
    94    0.832             -20            -729               0               0;
    95    0.841             -15            -621               0               0;
    96    0.850             -10            -505               0               0;
    97    0.859              -5            -383               0               0;
    98    0.868               1            -257               0               0;
    99    0.877               6            -128               0               0;
   100    0.885              11               1               0               0;
   101    0.894              16             128               0               0;
   102    0.903              21             253               0               0;
   103    0.912              26             375               0               0;
   104    0.921              30             492               0               0;
   105    0.930              34             602               0               0;
   106    0.939              38             706               0               0;
   107    0.947              42             803               0               0;
   108    0.956              45             890               0               0;
   109    0.965              47             968               0               0;
   110    0.974              49            1034               0               0;
   111    0.983              50            1089               0               0;
   112    0.992              51            1131               0               0;
   113    1.001              51            1160               0               0;
   114    1.009              50            1174               0               0;
   115    1.018              49            1175               0               0;
   116    1.027              47            1162               0               0;
   117    1.036              44            1138               0               0;
   118    1.045              41            1104               0               0;
   119    1.054              38            1059               0               0;
   120    1.063              34            1005               0               0;
   121    1.071              29             940               0               0;
   122    1.080              25             864               0               0;
   123    1.089              20             778               0               0;
   124    1.098              15             682               0               0;
   125    1.107               9             575               0               0;
   126    1.116               4             459               0               0;
   127    1.124              -1             335               0               0;
   128    1.133              -7             204               0               0;
   129    1.142             -12              70               0               0;
   130    1.151             -17             -67               0               0;
   131    1.160             -22            -204               0               0;
