 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000               0               0               0               0;
     1    0.009               0               0               0               0;
     2    0.018               0               0               0               0;
     3    0.027               0               0               0               0;
     4    0.035               0               0               0               0;
     5    0.044               1               0               0               0;
     6    0.053               1               0               0               0;
     7    0.062               1               0               0               0;
     8    0.071               2               0               0               0;
     9    0.080               3               0               0               0;
    10    0.089               4               2               0               0;
    11    0.097               5               3               0               0;
    12    0.106               7               5               0               0;
    13    0.115               9               9               0               0;
    14    0.124              11              15               0               0;
    15    0.133              14              24               0               0;
    16    0.142              16              37               0               0;
    17    0.151              20              55               0               0;
    18    0.159              23              80               0               0;
    19    0.168              27             113               0               0;
    20    0.177              31             155               0               0;
    21    0.186              34             207               0               0;
    22    0.195              38             269               0               0;
    23    0.204              41             342               0               0;
    24    0.213              45             424               0               0;
    25    0.221              47             515               0               0;
    26    0.230              49             613               0               0;
    27    0.239              51             716               0               0;
    28    0.248              51             820               0               0;
    29    0.257              51             921               0               0;
    30    0.266              50            1016               0               0;
    31    0.274              47            1101               0               0;
    32    0.283              44            1171               0               0;
    33    0.292              39            1223               0               0;
    34    0.301              34            1252               0               0;
    35    0.310              27            1257               0               0;
    36    0.319              19            1230               0               0;
    37    0.328              11            1175               0               0;
    38    0.336               3            1091               0               0;
    39    0.345              -5             974               0               0;
    40    0.354             -13             829               0               0;
    41    0.363             -21             654               0               0;
    42    0.372             -29             454               0               0;
    43    0.381             -36             231               0               0;
    44    0.390             -41             -10               0               0;
    45    0.398             -46            -264               0               0;
    46    0.407             -49            -524               0               0;
    47    0.416             -51            -782               0               0;
    48    0.425             -51           -1030               0               0;
    49    0.434             -49           -1260               0               0;
    50    0.443             -45           -1464               0               0;
    51    0.452             -40           -1634               0               0;
    52    0.460             -33           -1760               0               0;
    53    0.469             -26           -1836               0               0;
    54    0.478             -17           -1859               0               0;
    55    0.487              -8           -1824               0               0;
    56    0.496               1           -1731               0               0;
    57    0.505              10           -1581               0               0;
    58    0.514              19           -1377               0               0;
    59    0.522              27           -1124               0               0;
    60    0.531              35            -830               0              -1;
    61    0.540              41            -501               0              -1;
    62    0.549              46            -149               0              -1;
    63    0.558              50             217               0              -2;
    64    0.567              51             584               0              -2;
    65    0.576              51             940               0              -3;
    66    0.584              48            1273               0              -3;
    67    0.593              43            1570               0              -4;
    68    0.602              37            1820               0              -4;
    69    0.611              30            2012               0              -4;
    70    0.620              22            2140               0              -4;
    71    0.629              13            2198               0              -4;
    72    0.638               4            2184               0              -4;
    73    0.646              -6            2098               0              -4;
    74    0.655             -15            1943               0              -2;
    75    0.664             -24            1724               0              -0;
    76    0.673             -32            1447               0               2;
    77    0.682             -39            1118               0               4;
    78    0.691             -45             749               0               6;
    79    0.699             -49             351               0               9;
    80    0.708             -51             -61               0              12;
    81    0.717             -51            -475               0              16;
    82    0.726             -49            -875               0              20;
    83    0.735             -45           -1248               0              24;
    84    0.744             -39           -1579               0              29;
    85    0.753             -32           -1857               0              33;
    86    0.761             -24           -2070               0              36;
    87    0.770             -15           -2213               0              39;
    88    0.779              -6           -2278               0              41;
    89    0.788               4           -2262               0              42;
    90    0.797              13           -2164               0              42;
    91    0.806              22           -1989               0              42;
    92    0.815              30           -1740               0              39;
    93    0.823              38           -1428               0              36;
    94    0.832              44           -1061               0              32;
    95    0.841              48            -655               0              27;
    96    0.850              51            -223               0              23;
    97    0.859              51             220               0              17;
    98    0.868              49             657               0              12;
    99    0.877              45            1070               0               6;
   100    0.885              40            1446               0              -1;
   101    0.894              33            1768               0              -8;
   102    0.903              25            2027               0             -16;
   103    0.912              17            2212               0             -23;
   104    0.921               7            2316               0             -30;
   105    0.930              -2            2339               0             -37;
   106    0.939             -12            2277               0             -44;
   107    0.947             -21            2136               0             -51;
   108    0.956             -29            1918               0             -58;
   109    0.965             -37            1633               0             -65;
   110    0.974             -43            1288               0             -72;
   111    0.983             -48             895               0             -79;
   112    0.992             -50             468               0             -86;
   113    1.001             -51              25               0             -92;
   114    1.009             -50            -419               0             -97;
   115    1.018             -46            -846               0            -100;
   116    1.027             -41           -1239               0            -101;
   117    1.036             -34           -1587               0            -102;
   118    1.045             -27           -1876               0             -98;
   119    1.054             -18           -2095               0             -93;
   120    1.063              -9           -2238               0             -87;
   121    1.071               1           -2297               0             -81;
   122    1.080              10           -2271               0             -74;
   123    1.089              19           -2159               0             -67;
   124    1.098              28           -1964               0             -59;
