 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000               0               0               0               0;
     1    0.009               0               0               0               0;
     2    0.018               0               0               0               0;
     3    0.027               0               0               0               0;
     4    0.035               0               0               0               0;
     5    0.044               0               0               0               0;
     6    0.053               0               0               0               0;
     7    0.062               1               0               0               0;
     8    0.071               1               0               0               0;
     9    0.080               1               0               0               0;
    10    0.089               2               0               0               0;
    11    0.097               3               0               0               0;
    12    0.106               4               0               0               0;
    13    0.115               5               0               0               0;
    14    0.124               6               0               0               0;
    15    0.133               7               0               0               0;
    16    0.142               9               0               0               0;
    17    0.151              10               0               0               0;
    18    0.159              12               0               0               0;
    19    0.168              15               0               0               0;
    20    0.177              17               0               0               0;
    21    0.186              20               1               0               0;
    22    0.195              23               2               0               0;
    23    0.204              27               3               0               0;
    24    0.213              31               4               0               0;
    25    0.221              35               5               0               0;
    26    0.230              40               7               0               0;
    27    0.239              45               8               0               0;
    28    0.248              50              10               0               0;
    29    0.257              56              13               0               0;
    30    0.266              63              16               0               0;
    31    0.274              70              19               0               0;
    32    0.283              77              24               0               0;
    33    0.292              85              29               0               0;
    34    0.301              94              35               0               0;
    35    0.310             103              42               0               0;
    36    0.319             113              49               0               0;
    37    0.328             124              58               0               0;
    38    0.336             135              66               0               0;
    39    0.345             148              75               0               0;
    40    0.354             160              85               0               0;
    41    0.363             174              95               0               0;
    42    0.372             188             105               0               0;
    43    0.381             204             115               0               0;
    44    0.390             220             125               0               0;
    45    0.398             237             135               0               0;
    46    0.407             255             147               0               0;
    47    0.416             274             159               0               0;
    48    0.425             294             173               0               0;
    49    0.434             315             187               0               0;
    50    0.443             337             201               0               0;
    51    0.452             361             217               0               0;
    52    0.460             385             233               0               0;
    53    0.469             410             250               0               0;
    54    0.478             436             268               0               0;
    55    0.487             462             287               0               0;
    56    0.496             489             306               0               0;
    57    0.505             517             325               0               0;
    58    0.514             545             345               0               0;
    59    0.522             573             364               0               0;
    60    0.531             601             384               0               0;
    61    0.540             629             403               0               0;
    62    0.549             658             423               0               0;
    63    0.558             686             442               0               0;
    64    0.567             713             460               0               0;
    65    0.576             741             479               0               0;
    66    0.584             767             498               0               0;
    67    0.593             793             515               0               0;
    68    0.602             818             533               0               0;
    69    0.611             843             549               0               0;
    70    0.620             866             564               0               0;
    71    0.629             887             578               0               0;
    72    0.638             907             591               0               0;
    73    0.646             926             603               0               0;
    74    0.655             943             613               0               0;
    75    0.664             958             622               0               0;
    76    0.673             971             629               0               0;
    77    0.682             982             635               0               0;
    78    0.691             990             639               0               0;
    79    0.699             996             642               0               0;
    80    0.708            1000             642               0               0;
    81    0.717            1000             642               0               0;
    82    0.726             997             642               0               0;
    83    0.735             991             638               0               0;
    84    0.744             981             633               0               0;
    85    0.753             968             628               0               0;
    86    0.761             951             620               0               0;
    87    0.770             930             611               0               0;
    88    0.779             904             598               0               0;
    89    0.788             874             580               0               0;
    90    0.797             840             559               0               0;
    91    0.806             800             534               0               0;
    92    0.815             756             504               0               0;
    93    0.823             708             470               0               0;
    94    0.832             656             432               0               0;
    95    0.841             600             391               0               0;
    96    0.850             541             347               0               0;
    97    0.859             479             300               0               0;
    98    0.868             414             252               0               0;
    99    0.877             347             202               0               0;
   100    0.885             277             151               0               0;
   101    0.894             206             100               0               0;
   102    0.903             133              49               0               0;
   103    0.912              60              -1               0               0;
   104    0.921             -14             -50               0               0;
   105    0.930             -89             -99               0               0;
   106    0.939            -163            -148               0               0;
   107    0.947            -237            -196               0               0;
   108    0.956            -310            -244               0               0;
   109    0.965            -382            -291               0               0;
   110    0.974            -452            -337               0               0;
   111    0.983            -519            -381               0               0;
   112    0.992            -585            -424               0               0;
   113    1.001            -647            -465               0               0;
   114    1.009            -706            -503               0               0;
   115    1.018            -760            -538               0               0;
   116    1.027            -811            -569               0               0;
   117    1.036            -856            -597               0               0;
   118    1.045            -897            -620               0               0;
   119    1.054            -931            -640               0               0;
   120    1.063            -959            -656               0               0;
   121    1.071            -980            -666               0               0;
   122    1.080            -994            -672               0               0;
   123    1.089           -1000            -674               0               0;
   124    1.098            -997            -670               0               0;
   125    1.107            -986            -662               0               0;
   126    1.116            -965            -649               0               0;
   127    1.124            -935            -631               0               0;
   128    1.133            -897            -606               0               0;
   129    1.142            -851            -575               0               0;
   130    1.151            -798            -536               0               0;
   131    1.160            -738            -491               0               0;
   132    1.169            -672            -440               0               0;
