 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000               0              -2               0              -7;
     1    0.009               0              -2               0              -7;
     2    0.018               0              -2               0              -7;
     3    0.027               0              -2               0              -7;
     4    0.035               0              -2               0              -7;
     5    0.044               0              -2               0              -7;
     6    0.053               0              -2               0              -7;
     7    0.062               1              -2               0              -7;
     8    0.071               1              -2               0              -7;
     9    0.080               1              -2               0              -7;
    10    0.089               2              -2               0              -7;
    11    0.097               3              -2               0              -7;
    12    0.106               4              -2               0              -7;
    13    0.115               5              -2               0              -7;
    14    0.124               6              -2               0              -7;
    15    0.133               7              -2               0              -7;
    16    0.142               9              -2               0              -7;
    17    0.151              10              -2               0              -7;
    18    0.159              12              -2               0              -7;
    19    0.168              15              -2               0              -7;
    20    0.177              17              -2               0              -7;
    21    0.186              20              -2               0              -7;
    22    0.195              23              -1               0              -7;
    23    0.204              27              -1               0              -7;
    24    0.213              31              -1               0              -7;
    25    0.221              35               0               0              -7;
    26    0.230              40               1               0              -7;
    27    0.239              45               3               0              -7;
    28    0.248              50               4               0              -7;
    29    0.257              56               6               0              -7;
    30    0.266              63               9               0              -7;
    31    0.274              70              12               0              -7;
    32    0.283              77              16               0              -7;
    33    0.292              85              21               0              -7;
    34    0.301              94              27               0              -7;
    35    0.310             103              34               0              -7;
    36    0.319             113              42               0              -7;
    37    0.328             124              50               0              -7;
    38    0.336             135              59               0              -7;
    39    0.345             148              68               0              -7;
    40    0.354             160              77               0              -7;
    41    0.363             174              86               0              -7;
    42    0.372             188              94               0              -7;
    43    0.381             204             102               0              -7;
    44    0.390             220             109               0              -7;
    45    0.398             237             117               0              -7;
    46    0.407             255             126               0              -7;
    47    0.416             274             135               0              -7;
    48    0.425             294             146               0              -7;
    49    0.434             315             159               0              -7;
    50    0.443             337             173               0              -7;
    51    0.452             361             188               0              -7;
    52    0.460             385             205               0              -7;
    53    0.469             410             224               0              -7;
    54    0.478             436             243               0              -7;
    55    0.487             462             263               0              -7;
    56    0.496             489             284               0              -7;
    57    0.505             517             305               0              -7;
    58    0.514             545             326               0              -7;
    59    0.522             573             346               0              -7;
    60    0.531             601             365               0              -7;
    61    0.540             629             384               0              -7;
    62    0.549             658             402               0              -7;
    63    0.558             686             418               0              -7;
    64    0.567             713             434               0              -7;
