 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000               0               0               0               0;
     1    0.009               0               0               0               0;
     2    0.018               0               0               0               0;
     3    0.027               0               0               0               0;
     4    0.035               0               0               0               0;
     5    0.044               0               0               0               0;
     6    0.053               0               0               0              -1;
     7    0.062               0               0               0              -1;
     8    0.071               0               0               0              -1;
     9    0.080               0               0               0              -1;
    10    0.089               0               0               0              -1;
    11    0.097               0               0               0              -1;
    12    0.106               0               0               0              -1;
    13    0.115               0               0               0              -1;
    14    0.124               0               0               0              -1;
    15    0.133               0               0               0              -1;
    16    0.142               0               0               0              -1;
    17    0.151               0               0               0              -1;
    18    0.159               1               0               0              -1;
    19    0.168               1               0               0              -2;
    20    0.177               1               0               0              -2;
    21    0.186               1               0               0              -2;
    22    0.195               1               0               0              -2;
    23    0.204               1               0               0              -2;
    24    0.213               1               0               0              -2;
    25    0.221               2               0               0              -3;
    26    0.230               2               0               0              -3;
    27    0.239               2               0               0              -3;
    28    0.248               2               0               0              -3;
    29    0.257               3               1               0              -3;
    30    0.266               3               1               0              -1;
    31    0.274               3               2               0              -1;
    32    0.283               4               3               0              -1;
    33    0.292               4               4               0              -1;
    34    0.301               4               6               0              -1;
    35    0.310               5               8               0              -0;
    36    0.319               5              10               0               0;
    37    0.328               6              13               0               1;
    38    0.336               6              16               0               1;
    39    0.345               7              20               0               2;
    40    0.354               7              25               0               2;
    41    0.363               8              31               0               2;
    42    0.372               8              38               0               2;
    43    0.381               9              47               0               2;
    44    0.390              10              56               0               2;
    45    0.398              10              65               0               2;
    46    0.407              11              75               0               2;
    47    0.416              12              86               0               2;
    48    0.425              13              97               0               2;
    49    0.434              13             110               0               2;
    50    0.443              14             123               0               2;
    51    0.452              15             136               0               1;
    52    0.460              16             150               0              -0;
    53    0.469              17             164               0              -1;
    54    0.478              18             179               0              -3;
    55    0.487              19             194               0              -4;
    56    0.496              21             210               0              -5;
    57    0.505              22             226               0              -6;
    58    0.514              23             244               0              -7;
    59    0.522              24             262               0              -7;
    60    0.531              25             281               0              -8;
    61    0.540              27             301               0              -8;
    62    0.549              28             322               0              -8;
    63    0.558              29             344               0              -8;
    64    0.567              31             368               0              -8;
    65    0.576              32             392               0              -8;
    66    0.584              33             418               0              -8;
    67    0.593              34             446               0              -8;
    68    0.602              36             475               0              -6;
    69    0.611              37             505               0              -6;
    70    0.620              38             537               0              -6;
    71    0.629              39             569               0              -5;
    72    0.638              41             602               0              -5;
    73    0.646              42             635               0              -4;
    74    0.655              43             668               0              -4;
    75    0.664              44             700               0              -3;
    76    0.673              45             731               0              -2;
    77    0.682              46             760               0              -1;
    78    0.691              47             788               0               1;
    79    0.699              47             813               0               2;
    80    0.708              48             835               0               3;
    81    0.717              49             853               0               3;
    82    0.726              50             869               0               4;
    83    0.735              50             881               0               4;
    84    0.744              50             888               0               4;
    85    0.753              51             892               0               4;
    86    0.761              51             892               0               4;
    87    0.770              51             891               0               4;
    88    0.779              51             888               0               4;
    89    0.788              51             885               0               4;
    90    0.797              51             882               0               4;
    91    0.806              51             879               0               4;
    92    0.815              50             878               0               3;
    93    0.823              49             878               0               2;
    94    0.832              49             878               0               1;
    95    0.841              48             877               0              -1;
    96    0.850              47             876               0              -3;
    97    0.859              45             874               0              -4;
    98    0.868              44             869               0              -5;
    99    0.877              42             863               0              -7;
   100    0.885              41             854               0              -7;
   101    0.894              39             841               0              -7;
   102    0.903              37             825               0              -7;
   103    0.912              34             805               0              -7;
   104    0.921              32             780               0              -7;
   105    0.930              29             749               0              -7;
   106    0.939              27             712               0              -7;
   107    0.947              24             670               0              -7;
   108    0.956              21             621               0              -7;
   109    0.965              18             568               0              -7;
   110    0.974              15             508               0              -7;
   111    0.983              12             444               0              -7;
   112    0.992               9             376               0              -7;
   113    1.001               6             304               0              -5;
   114    1.009               3             230               0              -4;
   115    1.018              -0             154               0              -2;
   116    1.027              -3              78               0              -1;
   117    1.036              -7               3               0               2;
   118    1.045             -10             -69               0               4;
   119    1.054             -13            -138               0               6;
   120    1.063             -16            -203               0               8;
   121    1.071             -19            -265               0               9;
   122    1.080             -22            -323               0               9;
   123    1.089             -25            -378               0               9;
   124    1.098             -28            -429               0               9;
   125    1.107             -31            -477               0               8;
   126    1.116             -33            -523               0               7;
   127    1.124             -36            -565               0               6;
   128    1.133             -38            -606               0               5;
   129    1.142             -41            -644               0               5;
   130    1.151             -43            -680               0               5;
